_id,callingstationid,created_at,created_date,rss
5b056490ea6ee3062b124e8e,da:a1:19:2e:64:23,1527099871,2018-05-23T12:54:31.000Z,-79
5b056490ea6ee3062b124e8f,da:a1:19:54:cf:ba,1527099875,2018-05-23T12:54:35.000Z,-82
5b056490ea6ee3062b124e90,5c:99:60:cc:67:d7,1527099876,2018-05-23T12:54:36.000Z,-91
5b056568ea6ee3062b1255b5,da:a1:19:bf:4b:3c,1527099986,2018-05-23T12:56:26.000Z,-90
5b056568ea6ee3062b1255b6,e8:9e:b4:16:47:ab,1527099988,2018-05-23T12:56:28.000Z,-80
5b056568ea6ee3062b1255b7,a8:96:75:59:cc:3a,1527099994,2018-05-23T12:56:34.000Z,-92
5b056568ea6ee3062b1255b8,da:a1:19:fe:df:87,1527099995,2018-05-23T12:56:35.000Z,-84
5b056568ea6ee3062b1255b9,da:a1:19:fb:82:87,1527099996,2018-05-23T12:56:36.000Z,-83
5b056568ea6ee3062b1255ba,20:82:c0:6c:3e:d2,1527099997,2018-05-23T12:56:37.000Z,-91
5b056568ea6ee3062b1255bb,a8:96:75:5c:45:9c,1527099999,2018-05-23T12:56:39.000Z,-85
5b056568ea6ee3062b1255bc,f4:f1:e1:eb:2c:d4,1527100001,2018-05-23T12:56:41.000Z,-78
5b056568ea6ee3062b1255bd,dc:1a:c5:b6:74:e3,1527100022,2018-05-23T12:57:02.000Z,-83
5b056568ea6ee3062b1255be,68:c4:4d:66:2b:c2,1527100022,2018-05-23T12:57:02.000Z,-90
5b056568ea6ee3062b1255bf,da:a1:19:6a:1c:d0,1527100022,2018-05-23T12:57:02.000Z,-86
5b056568ea6ee3062b1255c0,10:07:b6:07:20:dc,1527100029,2018-05-23T12:57:09.000Z,-79
5b056568ea6ee3062b1255c1,da:a1:19:e0:5b:0f,1527100030,2018-05-23T12:57:10.000Z,-78
5b056568ea6ee3062b1255c2,bc:d1:1f:16:db:6c,1527100034,2018-05-23T12:57:14.000Z,-91
5b056568ea6ee3062b1255c3,da:a1:19:3f:98:ff,1527100035,2018-05-23T12:57:15.000Z,-79
5b056568ea6ee3062b1255c4,da:a1:19:c4:3f:2a,1527100036,2018-05-23T12:57:16.000Z,-77
5b056568ea6ee3062b1255c5,74:23:44:3d:b6:cf,1527100039,2018-05-23T12:57:19.000Z,-78
5b056568ea6ee3062b1255c6,da:a1:19:ea:f4:e1,1527100039,2018-05-23T12:57:19.000Z,-82
5b056568ea6ee3062b1255c7,a8:96:75:26:8e:9b,1527100047,2018-05-23T12:57:27.000Z,-85
5b056568ea6ee3062b1255c8,c8:f2:30:e7:3d:6e,1527100049,2018-05-23T12:57:29.000Z,-91
5b056568ea6ee3062b1255c9,da:a1:19:c5:e2:d5,1527100071,2018-05-23T12:57:51.000Z,-83
5b056568ea6ee3062b1255ca,ae:56:2c:65:23:68,1527100071,2018-05-23T12:57:51.000Z,-85
5b056568ea6ee3062b1255cb,a8:96:75:1f:9c:e0,1527100076,2018-05-23T12:57:56.000Z,-92
5b056568ea6ee3062b1255cc,dc:1a:c5:5d:c9:c3,1527100077,2018-05-23T12:57:57.000Z,-93
5b056568ea6ee3062b1255cd,a4:44:d1:0a:62:3a,1527100084,2018-05-23T12:58:04.000Z,-81
5b056568ea6ee3062b1255ce,da:a1:19:6b:11:59,1527100086,2018-05-23T12:58:06.000Z,-92
5b056568ea6ee3062b1255cf,da:a1:19:17:63:4a,1527100092,2018-05-23T12:58:12.000Z,-85
5b056640ea6ee3062b125d35,da:a1:19:7f:58:41,1527100176,2018-05-23T12:59:36.000Z,-84
5b056640ea6ee3062b125d36,da:a1:19:d6:51:05,1527100177,2018-05-23T12:59:37.000Z,-85
5b056640ea6ee3062b125d37,3c:91:57:ae:54:86,1527100181,2018-05-23T12:59:41.000Z,-92
